Ref,Val,Package,PosX,PosY,Rot,Side
"A1","BNO055","BNO055_IMU",172.980000,-56.200000,0.000000,top
"C3","10uF","C0805_10681391",172.800000,-72.500000,0.000000,top
"C4","22uF","C_0603_1608Metric",175.870000,-72.890000,-90.000000,top
"C7","22uF","C_0603_1608Metric",178.100000,-61.480000,0.000000,top
"C9","100nF","C0805_10681391",180.440000,-77.210000,90.000000,top
"C10","10nF","C0805_10681391",136.830000,-75.630000,0.000000,top
"C11","100nF","C0805_10681391",182.990000,-77.210000,90.000000,top
"C31","220uF","C0805_10681391",105.890000,-50.200000,0.000000,top
"C41","100nF","C0805_10681391",116.500000,-67.000000,0.000000,top
"C42","100nF","C0805_10681391",118.770000,-61.740000,90.000000,top
"C51","100nF","C0805_10681391",137.500000,-50.840000,0.000000,top
"C53","100nF","C0805_10681391",156.430000,-49.900000,180.000000,top
"C54","100nF","C0805_10681391",133.000000,-50.830000,180.000000,top
"C55","100nF","C0805_10681391",161.370000,-71.890000,0.000000,top
"C56","100nF","C0805_10681391",166.110000,-70.520000,0.000000,top
"C61","100nF","C0805_10681391",164.720000,-84.130000,90.000000,top
"C62","100nF","C0805_10681391",157.930000,-77.930000,180.000000,top
"C63","220uF","C0805_10681391",162.510000,-77.970000,0.000000,top
"C71","10nF","C0805_10681391",150.710000,-80.820000,-90.000000,top
"D1","SS54","D_SMA",181.890000,-68.830000,0.000000,top
"D2","LED","LED_0805_2012Metric",154.630000,-81.397500,90.000000,top
"D3","LED","LED_0805_2012Metric",130.000000,-74.880000,-90.000000,top
"D6","SS54","D_SMA",173.860000,-68.830000,0.000000,top
"EXT_PINS0","PINHD-2X5","2X05_EXT_PINS",95.990000,-81.180000,90.000000,top
"IC1","ATMEGAAU","TQFP100_atmega2560",141.200000,-62.200000,0.000000,top
"IC2","RPI-ZERO","rpi_zero_w",93.870000,-72.750000,0.000000,top
"J1","Conn_02x03_Counter_Clockwise","HARWIN_M20-9980346",105.112500,-87.925000,0.000000,top
"J2","Conn_02x03_Counter_Clockwise","HARWIN_M20-9980346",116.442500,-87.935000,0.000000,top
"J3","Conn_01x05","PinHeader_1x05_P2.54mm_Horizontal",147.842500,-87.475000,-90.000000,top
"J4","USB4105-GF-A","GCT_USB4105-GF-A",173.070000,-43.000000,180.000000,top
"J5","USB_B_Mini","USB_Mini-B_AdamTech_MUSB-B5-S-VT-TSMT-1_SMD_Vertical",128.462500,-88.525000,-90.000000,top
"J6","Conn_01x03_Socket","PinSocket_1x03_P2.54mm_Horizontal",177.920000,-85.400000,90.000000,top
"L1","20uH","L_10.4x10.4_H4.8",172.980000,-54.500000,0.000000,top
"P1","NCP1117","SOT223_ncp1117",159.800000,-84.470000,0.000000,top
"Q3","DMG9926UDM","SOT-23-6",167.655000,-79.690000,-90.000000,top
"Q11","BSS123","SOT23_NMOS",110.990000,-84.280000,180.000000,top
"Q12","BSS123","SOT23_NMOS",103.160000,-78.915000,180.000000,top
"Q13","BSS123","SOT23_NMOS",107.170000,-78.940000,180.000000,top
"Q14","BSS123","SOT23_NMOS",111.110000,-78.050000,180.000000,top
"QG1","XO91","SM77H_crystal_oscillator",145.270000,-80.750000,90.000000,top
"QG2","XO91","SM77H_crystal_oscillator",137.060000,-80.370000,180.000000,top
"R/W0","PINHD-1X2/90","1X02_90_rpi",94.140000,-57.680000,90.000000,top
"R1","1K","R_0603_1608Metric",118.990000,-82.480000,-90.000000,top
"R2","1K","R_0603_1608Metric",116.450000,-82.435000,-90.000000,top
"R3","10k","R_0603_1608Metric",145.930000,-73.310000,-90.000000,top
"R3o1","1K","R_0603_1608Metric",113.910000,-82.455000,-90.000000,top
"R4","10k","R_0603_1608Metric",143.720000,-73.270000,-90.000000,top
"R9","330","R_0603_1608Metric",154.630000,-84.920000,-90.000000,top
"R10","330","R_0603_1608Metric",132.010000,-74.990000,90.000000,top
"R11","180","R_0603_1608Metric",128.810000,-70.680000,180.000000,top
"R12","180","R_0603_1608Metric",128.810000,-59.930000,180.000000,top
"R13","180","R_0603_1608Metric",128.810000,-61.530000,180.000000,top
"R14","180","R_0603_1608Metric",128.830000,-63.110000,180.000000,top
"R15","330","R_0603_1608Metric",111.000000,-88.370000,-90.000000,top
"R16","330","R_0603_1608Metric",100.110000,-88.390000,-90.000000,top
"R17","330","R_0603_1608Metric",102.592500,-83.325000,-90.000000,top
"R18","330","R_0603_1608Metric",105.140000,-83.270000,-90.000000,top
"R21","3.3K","R_0603_1608Metric",173.860000,-63.205000,90.000000,top
"R24","1K","R_0603_1608Metric",171.587500,-82.610000,180.000000,top
"R25","330","R_0603_1608Metric",182.990000,-81.625000,90.000000,top
"R26","1k","R_0603_1608Metric",127.170000,-75.770000,90.000000,top
"R27","1k","R_0603_1608Metric",125.050000,-75.770000,90.000000,top
"R28","330","R_0603_1608Metric",180.430000,-81.625000,90.000000,top
"RV1","R_Potentiometer","Potentiometer_Bourns_3214W_Vertical",169.810000,-62.580000,180.000000,top
"SW1","SW_DIP_x02","SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm",111.250000,-61.500000,180.000000,top
"SW2","SW_SPDT_312","SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",169.300000,-87.570000,0.000000,top
"U3","TXB0104PWR","TXB0104PWR",127.250000,-66.750000,0.000000,top
"U4","MT3608","SOT-23-6",180.060000,-64.810000,90.000000,top
"U7","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",127.847500,-81.400000,90.000000,top
"U8","R5460N","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",173.560000,-79.800000,-90.000000,top
