Designator,MidX,MidY,Layer,Rotation
A1,172.98,-56.2,top,0
C3,172.8,-72.5,top,0
C4,175.87,-72.89,top,-90
C7,178.1,-61.48,top,0
C9,180.44,-77.21,top,90
C10,136.83,-75.63,top,0
C11,182.99,-77.21,top,90
C31,105.89,-50.2,top,0
C41,116.5,-67,top,0
C42,118.77,-61.74,top,90
C51,137.5,-50.84,top,0
C53,156.43,-49.9,top,180
C54,133,-50.83,top,180
C55,161.37,-71.89,top,0
C56,166.11,-70.52,top,0
C61,164.72,-84.13,top,90
C62,157.93,-77.93,top,180
C63,162.51,-77.97,top,0
C71,150.71,-80.82,top,-90
D1,181.89,-68.83,top,0
D2,154.63,-81.3975,top,90
D3,130,-74.88,top,-90
D6,173.86,-68.83,top,0
EXT_PINS0,95.99,-81.18,top,90
IC1,141.2,-62.2,top,0
IC2,93.87,-72.75,top,0
J1,105.1125,-87.925,top,0
J2,116.4425,-87.935,top,0
J3,147.8425,-87.475,top,-90
J4,173.07,-43,top,180
J5,128.4625,-88.525,top,-90
J6,177.92,-85.4,top,90
L1,172.98,-54.5,top,0
P1,159.8,-84.47,top,0
Q3,167.655,-79.69,top,-90
Q11,110.99,-84.28,top,180
Q12,103.16,-78.915,top,180
Q13,107.17,-78.94,top,180
Q14,111.11,-78.05,top,180
QG1,145.27,-80.75,top,90
QG2,137.06,-80.37,top,180
R/W0,94.14,-57.68,top,90
R1,118.99,-82.48,top,-90
R2,116.45,-82.435,top,-90
R3,145.93,-73.31,top,-90
R3o1,113.91,-82.455,top,-90
R4,143.72,-73.27,top,-90
R9,154.63,-84.92,top,-90
R10,132.01,-74.99,top,90
R11,128.81,-70.68,top,180
R12,128.81,-59.93,top,180
R13,128.81,-61.53,top,180
R14,128.83,-63.11,top,180
R15,111,-88.37,top,-90
R16,100.11,-88.39,top,-90
R17,102.5925,-83.325,top,-90
R18,105.14,-83.27,top,-90
R21,173.86,-63.205,top,90
R24,171.5875,-82.61,top,180
R25,182.99,-81.625,top,90
R26,127.17,-75.77,top,90
R27,125.05,-75.77,top,90
R28,180.43,-81.625,top,90
RV1,169.81,-62.58,top,180
SW1,111.25,-61.5,top,180
SW2,169.3,-87.57,top,0
U3,127.25,-66.75,top,0
U4,180.06,-64.81,top,90
U7,127.8475,-81.4,top,90
U8,173.56,-79.8,top,-90
