Designator,Mid X,Mid Y,Rotation,Layer
A1,174.07,-59.23,0.0,top
C1,173.31,-51.93,270.0,top
C10,136.83,-75.63,0.0,top
C11,182.98,-77.25,90.0,top
C12,174.94,-72.66,90.0,top
C2,177.48,-59.19,90.0,top
C31,98.31,-50.52,180.0,top
C41,120.25,-63.84,90.0,top
C42,123.1,-60.47,90.0,top
C5,172.28,-68.09,270.0,top
C51,138.81,-50.66,0.0,top
C53,156.43,-49.9,180.0,top
C54,132.76,-51.07,180.0,top
C55,151.33,-65.63,270.0,top
C56,137.17,-61.97,270.0,top
C6,170.81,-51.14,270.0,top
C61,164.72,-84.13,90.0,top
C62,157.93,-77.93,180.0,top
C63,162.91,-77.96,0.0,top
C71,150.71,-80.82,270.0,top
C8,179.63,-60.09,90.0,top
C9,180.44,-77.26,90.0,top
D2,154.63,-81.3975,90.0,top
D3,130.0,-74.88,270.0,top
D4,160.68,-50.42,90.0,top
EXT_PINS0,95.99,-81.18,90.0,top
IC1,141.2,-62.2,0.0,top
IC2,126.37,-46.25,0.0,top
J1,105.1125,-87.925,0.0,top
J2,116.4425,-87.935,0.0,top
J3,142.7625,-87.475,270.0,top
J5,128.5,-87.8725,0.0,top
J6,180.46,-85.4,90.0,top
L2,179.63,-48.68,0.0,top
P1,159.8,-84.4787,0.0,top
Q11,110.99,-84.28,180.0,top
Q12,103.16,-78.915,180.0,top
Q13,107.17,-78.94,180.0,top
Q14,111.11,-78.05,180.0,top
Q3,167.655,-79.69,90.0,top
QG1,145.27,-80.75,90.0,top
QG2,137.06,-80.37,180.0,top
R/W0,97.95,-57.68,90.0,top
R1,118.99,-82.48,270.0,top
R10,132.01,-74.99,90.0,top
R11,128.81,-70.68,180.0,top
R12,128.81,-59.93,180.0,top
R13,128.81,-61.53,180.0,top
R14,128.83,-63.11,180.0,top
R15,111.0,-88.37,270.0,top
R16,100.11,-88.39,270.0,top
R17,102.5925,-83.325,270.0,top
R18,105.14,-83.27,270.0,top
R19,175.65,-67.105,270.0,top
R2,116.45,-82.435,270.0,top
R20,160.68,-45.53,270.0,top
R21,104.32,-63.655,270.0,top
R22,177.31,-67.11,90.0,top
R23,178.93,-67.12,90.0,top
R24,171.5875,-82.61,180.0,top
R25,182.99,-81.625,90.0,top
R26,127.17,-75.77,90.0,top
R27,125.05,-75.77,90.0,top
R28,180.43,-81.625,90.0,top
R29,170.68,-64.94,180.0,top
R3,145.93,-73.31,270.0,top
R30,169.03,-69.67,0.0,top
R31,169.04,-67.15,180.0,top
R3O1,113.91,-82.455,270.0,top
R4,143.72,-73.27,270.0,top
R5,167.92,-62.24,90.0,top
R6,169.46,-61.42,270.0,top
R7,170.52,-55.47,270.0,top
R8,165.1,-90.06,0.0,top
R9,154.63,-84.92,270.0,top
SW1,111.25,-61.5,90.0,top
SW2,169.25,-87.45,180.0,top
U2,173.31,-59.89,0.0,top
U3,127.25,-66.75,0.0,top
U7,127.8475,-81.4,0.0,top
U8,173.56,-79.8,90.0,top
USB1,168.55,-45.7225,180.0,top
